X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
397846,143036,20087515,2020/06/13 16:16:24+00,2020/06/12 20:00:47+00,2020/06/13 14:00:50+00,800  - 899 BLOCK OF JEFFERSON STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,4,4D,4,403,Cluster 18,002101 5,002101,Precinct 56,,397846,143036,38.9552246071,-77.0248509665,958736818,
398187,137264,20087740,2020/06/14 02:49:00+00,2020/06/13 16:00:16+00,2020/06/13 16:15:24+00,600 - 699 BLOCK OF NEW YORK AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,2,2G,3,308,Cluster 8,004802 2,004802,Precinct 18,,398187,137264,38.9032294141,-77.02090156,958737226,
401550,137312,20088029,2020/06/14 19:52:32+00,2020/06/14 06:00:36+00,2020/06/14 06:30:58+00,1000 - 1099 BLOCK OF 16TH STREET NE,THEFT/OTHER,OTHERS,EVENING,5,5D,5,506,Cluster 23,008802 1,008802,Precinct 77,,401550,137312,38.9036623182,-76.9821303836,958737227,
394459,141888,20088182,2020/06/15 01:21:08+00,2020/06/13 22:18:24+00,2020/06/14 18:47:26+00,4200 - 4399 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,EVENING,3,3F,2,203,Cluster 12,001303 1,001303,Precinct 34,,394459,141888,38.9448682747,-77.0639179252,958737228,
398486,141959,20088389,2020/06/15 13:55:56+00,2020/06/15 08:37:10+00,2020/06/15 08:40:18+00,4500  - 4516 BLOCK OF NEW HAMPSHIRE AVENUE NW,THEFT F/AUTO,OTHERS,DAY,4,4C,4,407,Cluster 18,002301 1,002301,Precinct 46,,398486,141959,38.9455240328,-77.0174648297,958737229,
397430,137621,20089385,2020/06/17 18:01:07+00,2020/06/17 13:25:24+00,2020/06/17 13:45:33+00,1200 - 1299 BLOCK OF 13TH STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2F,3,307,Cluster 7,005003 2,005003,Precinct 17,,397430,137621,38.9064435078,-77.0296301325,958737230,
396670,139844,20089492,2020/06/17 22:34:59+00,2020/06/13 19:13:49+00,2020/06/14 01:00:02+00,1601 - 1699 BLOCK OF ARGONNE PLACE NW,THEFT/OTHER,OTHERS,EVENING,1,1C,3,303,Cluster 1,003901 1,003901,Precinct 35,,396670,139844,38.9264664762,-77.0384031316,958737231,
398848,138551,20089717,2020/06/18 14:03:27+00,2020/06/18 13:19:44+00,2020/06/18 14:03:37+00,100 - 199 BLOCK OF SEATON PLACE NW,BURGLARY,OTHERS,DAY,5,5E,3,308,Cluster 21,003302 1,003302,Precinct 19,,398848,138551,38.9148242673,-77.0132832386,958737232,
401668,136243,20089900,2020/06/18 21:53:24+00,2020/06/18 21:24:54+00,2020/06/18 21:32:48+00,300 - 399 BLOCK OF 17TH STREET NE,MOTOR VEHICLE THEFT,OTHERS,EVENING,7,7D,5,507,Cluster 25,007901 2,007901,Precinct 81,,401668,136243,38.8940321652,-76.9807725828,958737233,
404382.469999999,137180.399999999,20089998,2020/06/19 02:16:31+00,2020/06/19 01:34:14+00,2020/06/19 02:13:54+00,3601 - 3764 BLOCK OF HAYES STREET NE,MOTOR VEHICLE THEFT,OTHERS,EVENING,7,7D,6,601,Cluster 30,009602 2,009602,Precinct 100,,404382.47,137180.4,38.9024672607,-76.9494762907,958737234,
400233,136927,20090783,2020/06/21 08:47:29+00,2020/06/21 00:18:01+00,2020/06/21 00:20:39+00,600 - 699 BLOCK OF H STREET NE,THEFT/OTHER,OTHERS,MIDNIGHT,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,,400233,136927,38.9001954371,-76.9973139237,958737235,
397921,138427,20090881,2020/06/21 05:53:55+00,2020/06/21 04:35:59+00,,1710 - 1799 BLOCK OF 9TH STREET NW,ROBBERY,GUN,MIDNIGHT,2,2G,3,307,Cluster 7,004901 1,004901,Precinct 21,,397921,138427,38.9137055298,-77.0239717189,958737236,
400134,137118,20091352,2020/06/22 08:45:04+00,2020/06/22 06:10:14+00,2020/06/22 06:15:06+00,900 - 999 BLOCK OF 6TH STREET NE,ASSAULT W/DANGEROUS WEAPON,GUN,MIDNIGHT,6,6C,5,501,Cluster 25,010602 3,010602,Precinct 83,,400134,137118,38.9019160539,-76.9984551807,958737237,
397161,140549,20091755,2020/06/23 10:33:51+00,2020/06/23 05:25:55+00,2020/06/23 08:24:18+00,3429 - 3464 BLOCK OF 14TH STREET NW,ASSAULT W/DANGEROUS WEAPON,KNIFE,MIDNIGHT,1,1A,4,408,Cluster 2,002900 2,002900,Precinct 41,,397161,140549,38.9328190575,-77.0327436046,958737238,
402234,133380,20091899,2020/06/23 18:15:18+00,2020/06/21 22:00:36+00,2020/06/22 17:00:44+00,2200 - 2299 BLOCK OF S STREET SE,THEFT F/AUTO,OTHERS,DAY,8,8A,6,607,Cluster 34,007601 2,007601,Precinct 133,,402234,133380,38.8682398943,-76.9742574781,958737239,
398518,144115,20092721,2020/06/25 07:08:23+00,2020/06/25 04:56:27+00,2020/06/25 06:08:35+00,300  - 399 BLOCK OF RITTENHOUSE STREET NW,ASSAULT W/DANGEROUS WEAPON,GUN,MIDNIGHT,4,4B,4,402,Cluster 17,001902 2,001902,Precinct 59,,398518,144115,38.9649459066,-77.0171003508,958737240,
